email,name,city,store_type
teodoro@ttreparaciones.com,T&T Reparaciones,Madrid,Tienda de regalos
librero@visor-libros.com,Visor Libros SL,Madrid,Librería
info@libreriadiogenes.com,Diógenes,Alcalá de Henares,Librería
info@libreriadiogenes.com,Diógenes,Alcalá de Henares,Librería
info@masterregalos.es,Master Regalos,Fuenlabrada,Tienda de regalos
mariflauers@mariflauers.com,Mariflauers,Torrejón de Ardoz,Floristería
torrejon@tiendasmgi.es,MGI Tiendas,Torrejón de Ardoz,Bazar/Boutique
laosgarden@laosgarden.com,Laos Garden,Las Rozas de Madrid,Floristería
info@centroartesano.es,Centro Artesano,San Sebastián de los Reyes,Artesanía
atencionalcliente@fronda.com,Fronda,San Sebastián de los Reyes,Centro jardinería
growvillalba@growvillalba.com,Hiper Grow,Collado Villalba,Centro jardinería
letonia@serendipiaslibrosymas.es,Librería Serendipias,Tres Cantos,Librería
tienda@viverospena.com,Viveros Peña,San Fernando de Henares,Centro jardinería
coral@manosycolores.com,Manos y Colores,Galapagar,Tienda de regalos
maflor1@hotmail.es,Floristería Maflor,Galapagar,Floristería
libreriapicos@telefonica.net,Librería Papelería Picos,Galapagar,Librería
elisabeth1@elisabetfloristas.com,Elisabeth Floristas,Ciempozuelos,Floristería
elisabeth1@elisabetfloristas.com,Elisabeth Floristas,Ciempozuelos,Floristería
jardiflor@jardiflor.es,Jardiflor,Guadarrama,Centro jardinería
info@librerialaguarida.com,La Guarida,Cercedilla,Librería
info@decoracionfloral.net,Verdencina Garden,Hoyo de Manzanares,Centro jardinería
bruno.lamante@gmail.com,My Graden,Latina,Centro jardinería
info@gardencenterfondi.com,Garden Center,Latina,Centro jardinería
pianetaregali@libero.it,Pianeta Regalo,Latina,Tienda de regalos
info@libroscampus.com,Campus Librería Universitaria,Salamanca,Librería
ratiolegis@ratiolegis.net,Ratio Legis,Salamanca,Librería
contacto@pacomoro.com,"Joyería Paco Moro, Joyas de Autor",Salamanca,Joyería
